cours,hight,indice,low,open_,time,var
9.081 ,9.142 ,CREDIT AGRICOLE SA,9.044 ,9.111 ,2022-10-26 15:43:23,-0.14%
132.520 ,134.220 ,AIR LIQUIDE,131.280 ,132.800 ,2022-10-26 15:43:23,+0.02%
105.820 ,105.880 ,AIRBUS,104.300 ,104.360 ,2022-10-26 15:43:23,+1.69%
20.050 ,20.060 ,ALSTOM,19.230 ,19.240 ,2022-10-26 15:43:23,+4.16%
48.160 ,48.565 ,DANONE,47.685 ,48.455 ,2022-10-26 15:43:23,-0.87%
47.280 ,47.650 ,BNP PARIBAS,47.030 ,47.445 ,2022-10-26 15:43:23,-0.12%
15.355 ,15.595 ,CARREFOUR,15.175 ,15.535 ,2022-10-26 15:43:23,-1.19%
173.000 ,175.400 ,CAPGEMINI,171.850 ,171.900 ,2022-10-26 15:43:23,0.00%
24.870 ,25.035 ,AXA,24.755 ,24.910 ,2022-10-26 15:43:23,-0.40%
91.850 ,92.270 ,VINCI,91.080 ,91.620 ,2022-10-26 15:43:23,+1.84%
34.410 ,35.795 ,DASSAULT SYSTEMES,34.235 ,35.340 ,2022-10-26 15:43:23,-6.18%
164.550 ,166.950 ,ESSILORLUXOTTICA,164.000 ,164.850 ,2022-10-26 15:43:23,-0.27%
1 350.000 ,1 374.000 ,HERMES INTL,1 342.000 ,1 355.500 ,2022-10-26 15:43:23,-0.33%
28.500 ,28.540 ,BOUYGUES,28.020 ,28.190 ,2022-10-26 15:43:23,+1.32%
13.024 ,13.130 ,ENGIE,12.974 ,13.030 ,2022-10-26 15:43:23,-0.14%
65.100 ,65.260 ,EUROFINS SCIENTIFIC,64.020 ,64.820 ,2022-10-26 15:43:23,+0.18%
31.835 ,32.200 ,RENAULT,31.500 ,31.700 ,2022-10-26 15:43:23,-0.02%
112.340 ,112.740 ,SAFRAN,110.100 ,110.200 ,2022-10-26 15:43:23,+1.81%
83.290 ,83.350 ,SANOFI,82.330 ,82.700 ,2022-10-26 15:43:23,+1.22%
41.645 ,42.105 ,SAINT-GOBAIN,41.405 ,41.425 ,2022-10-26 15:43:23,+0.37%
23.230 ,23.470 ,SOCIETE GENERALE,23.195 ,23.375 ,2022-10-26 15:43:23,-0.17%
125.650 ,126.000 ,THALES,122.150 ,122.250 ,2022-10-26 15:43:23,+3.33%
473.550 ,476.250 ,KERING,470.250 ,472.750 ,2022-10-26 15:43:23,+0.24%
13.534 ,13.608 ,STELLANTIS,13.400 ,13.496 ,2022-10-26 15:43:23,+0.01%
34.070 ,34.670 ,STMICROELECTRONICS,33.920 ,34.195 ,2022-10-26 15:43:23,-3.16%
132.540 ,133.660 ,SCHNEIDER ELECTRIC,131.300 ,131.380 ,2022-10-26 15:43:23,+0.94%
273.500 ,275.600 ,TELEPERFORMANCE,271.100 ,274.000 ,2022-10-26 15:43:23,-0.47%
78.180 ,78.360 ,LEGRAND,76.100 ,76.260 ,2022-10-26 15:43:23,+2.28%
652.800 ,663.600 ,LVMH,651.100 ,659.400 ,2022-10-26 15:43:23,-0.79%
24.805 ,24.845 ,MICHELIN,23.700 ,23.700 ,2022-10-26 15:43:23,-2.84%
318.450 ,322.900 ,L'OREAL,318.100 ,321.400 ,2022-10-26 15:43:23,-0.99%
52.920 ,53.370 ,TOTALENERGIES,52.410 ,53.000 ,2022-10-26 15:43:23,-0.62%
22.490 ,23.070 ,VEOLIA,22.450 ,22.730 ,2022-10-26 15:43:23,-1.06%
8.210 ,8.296 ,VIVENDI,8.164 ,8.296 ,2022-10-26 15:43:23,-1.32%
44.370 ,44.740 ,WORLDLINE,43.300 ,43.670 ,2022-10-26 15:43:23,+1.37%
9.481 ,9.514 ,ORANGE,9.378 ,9.420 ,2022-10-26 15:43:23,+0.81%
57.260 ,58.560 ,PUBLICIS GROUPE,57.060 ,58.560 ,2022-10-26 15:43:23,-2.22%
174.550 ,177.050 ,PERNOD RICARD,173.050 ,176.900 ,2022-10-26 15:43:23,-1.69%
